Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MLM,"Martin Marietta Materials, Inc.",184.63,11712473010,n/a,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mlm
MMLP,Martin Midstream Partners L.P.,20.19,715830635.3,n/a,2002,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mmlp
MRVL,Marvell Technology Group Ltd.,13.01,6650712000,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/mrvl
MAS,Masco Corporation,35.46,11709409290,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/mas
MASI,Masimo Corporation,59.9,2956152394,n/a,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/masi
DOOR,Masonite International Corporation,66.12,2022051623,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/door
MSTX,"Mast Therapeutics, Inc.",0.5521,116943309.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mstx
MTZ,"MasTec, Inc.",29.62,2439516559,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/mtz
MHH,"Mastech Holdings, Inc",7.7176,33934325.79,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/mhh
MA,Mastercard Incorporated,97.89,1.08549E+11,n/a,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ma
MTDR,Matador Resources Company,23.72,2213245622,n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mtdr
MTCH,"Match Group, Inc.",16.04,4037678608,n/a,2015,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/mtch
MTLS,Materialise NV,6.58,88029674.6,13378370,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mtls
MTRN,Materion Corporation,29.99,598818307.3,n/a,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/mtrn
MTRX,Matrix Service Company,18.49,492113032.6,n/a,1990,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/mtrx
MATX,"Matson, Inc.",42.04,1806007879,n/a,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/matx
MAT,"Mattel, Inc.",33.69,11475456165,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/mat
MATW,Matthews International Corporation,62.64,2011562266,n/a,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/matw
MFRM,Mattress Firm Holding Corp.,63.98,2380993371,n/a,2011,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/mfrm
